pool_address,pool_name,fee_tier,token_a_address,token_b_address
0x4e68Ccd3E89f51C3074ca5072bbAC773960dFa36,WETH/USDT,3000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7
0x56534741CD8B152df6d48AdF7ac51f75169A83b2,WBTC/USDT,500,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xdAC17F958D2ee523a2206206994597C13D831ec7
0x3416cf6c708da44db2624d63ea0aaef7113527c6,USDC/USDT,100,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdAC17F958D2ee523a2206206994597C13D831ec7
0x3470447f3CecfFAc709D3e783A307790b0208d60,UNI/USDT,3000,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0xdAC17F958D2ee523a2206206994597C13D831ec7
0x4D1Ad4A9e61Bc0E5529d64F38199cCFca56f5a42,AAVE/USDT,3000,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0xdAC17F958D2ee523a2206206994597C13D831ec7
0xac5A2c404EbBa22a869998089AC7893ff4E1F0a7,LINK/USDT,3000,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xdAC17F958D2ee523a2206206994597C13D831ec7
0x48DA0965ab2d2cbf1C17C09cFB5Cbe67Ad5B1406,DAI/USDT,100,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xdAC17F958D2ee523a2206206994597C13D831ec7
0x3735FaB379c75Db7a423178182B60BF6ae451850,WSOL/USDT,3000,0xD31a59c85aE9D8edEFeC411D448f90841571b89c,0xdAC17F958D2ee523a2206206994597C13D831ec7
0xa7BC6c09907fa2ded89F1c8D05374621cB1F88c5,PEPE/USDT,3000,0x6982508145454Ce325dDbE47a25d4ec3d2311933,0xdAC17F958D2ee523a2206206994597C13D831ec7
0xB0cC75ed5AaBB0aCce7cbf0302531Bb260d259C4,SHIB/USDT,3000,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0xdAC17F958D2ee523a2206206994597C13D831ec7
